STN Code,lat,lon
2138,23.8143419,77.5340719
2139,23.8143419,77.5340719
2140,23.2664845,77.4130845
2141,23.8143419,77.5340719
3296,23.8143419,77.5340719
1347,25.5379432,91.2999102
1348,25.5379432,91.2999102
1459,25.5379432,91.2999102
3346,25.87640255,91.85675741641606
3347,25.87640255,91.85675741641606
3348,25.87640255,91.85675741641606
3349,25.61849455,90.63421621777748
2437,20.5431241,84.6897321
2438,20.4574941,85.6048965413869
3953,20.5431241,84.6897321
3954,20.5431241,84.6897321
3955,20.5431241,84.6897321
3956,20.5431241,84.6897321
3957,20.5431241,84.6897321
1396,10.91564885,79.80694879844232
1686,11.8245095,79.73715777860332
1297,30.9293211,75.5004841
1382,30.9293211,75.5004841
2912,30.9293211,75.5004841
1285,26.8105777,73.7684549
1286,26.8105777,73.7684549
1414,26.4875533,74.55404662867572
1481,26.8105777,73.7684549
1714,26.8105777,73.7684549
1716,24.5953049,72.70390264699941
2935,25.4367659,75.736147085863
2936,27.41400485,76.61703869600933
2937,27.41400485,76.61703869600933
2938,25.07747625,73.88626319669183
2939,25.07747625,73.88626319669183
2940,23.8538893,73.7087177
2941,24.13770075,74.04723864534469
2942,24.13770075,74.04723864534469
2943,23.49150465,74.35021720129201
2944,26.9464166,75.8481731
1420,10.9094334,78.3665347
1421,10.9094334,78.3665347
1452,11.7832744,78.21046871339286
3007,10.9094334,78.3665347
3008,10.9094334,78.3665347
3009,10.9094334,78.3665347
3010,10.9094334,78.3665347
3011,10.9094334,78.3665347
1391,17.42291125,78.47542103126167
1788,17.4755464,78.3029526
1789,17.4755464,78.3029526
2340,16.9344152,77.7788338
2341,16.9344152,77.7788338
2342,16.9344152,77.7788338
3068,18.23337235,79.9393490664614
3069,17.7385691,79.130207
3070,17.5258589,78.46905021499732
3071,17.360589,78.4740613
3072,17.46338775,78.53627735570706
3073,17.47582539878519,78.48473706511365
3074,17.410768,78.44854448849662
1727,23.7750823,91.7025091
1728,23.4995742,91.31765830218896
3391,23.8253158,91.9732226716333
1364,27.0487062,76.05148839669879
2499,26.20867685,81.21862977045768
1765,22.5726459,88.3638953
2503,22.9964948,87.6855882
2504,22.9964948,87.6855882
2505,22.9964948,87.6855882
2519,22.9964948,87.6855882
2520,22.9964948,87.6855882
2521,22.9964948,87.6855882
2522,22.9964948,87.6855882
2539,22.9964948,87.6855882
2544,22.9964948,87.6855882
4296,25.6625441,77.90012166111927
3030,28.6155068,77.30637568452964
3197,22.8003959,70.88623203876728
3198,22.7589741,73.14757283750197
3199,23.2472446,69.668339
2130,25.37412155,77.82788660942335
2142,23.87167065,76.77447033719486
4229,17.8495919,79.1151663
4234,17.2611444,78.3931943
4235,17.8495919,79.1151663
4192,23.7750823,91.7025091
4368,15.9240905,80.1863809
1529,26.4073841,93.2551303
2218,26.1805978,91.753943
3804,26.4073841,93.2551303
4337,27.996243900000003,73.3343370898198
3031,28.6273928,77.1716954
3476,28.6273928,77.1716954
4408,15.3004543,74.0855134
1349,29.0,76.0
1392,30.8042411,76.9149498
3628,14.5203896,75.7223521
3644,14.5203896,75.7223521
3645,14.5203896,75.7223521
3646,13.1332176,77.99954447955251
3649,14.5203896,75.7223521
3654,14.5203896,75.7223521
3679,14.5203896,75.7223521
3680,14.5203896,75.7223521
3685,14.5203896,75.7223521
4094,12.98815675,77.62260003796
4095,12.98815675,77.62260003796
4096,12.98815675,77.62260003796
4097,12.9997576,77.4699806
4504,14.5203896,75.7223521
4505,14.5203896,75.7223521
4507,13.0267877,77.64551603960084
4508,14.5203896,75.7223521
4509,14.5203896,75.7223521
4510,13.0624602,77.61240882888731
4533,14.5203896,75.7223521
4534,12.8698009,77.76928872971652
4535,14.5203896,75.7223521
4536,14.5203896,75.7223521
4537,14.5203896,75.7223521
4538,14.5203896,75.7223521
4539,14.5203896,75.7223521
4540,14.5203896,75.7223521
4543,14.5203896,75.7223521
4545,14.5203896,75.7223521
4546,14.5203896,75.7223521
4547,14.5203896,75.7223521
4614,23.8143419,77.5340719
4615,23.8143419,77.5340719
4622,23.8143419,77.5340719
1425,24.7208818,93.9229386
1426,24.7208818,93.9229386
1629,24.7208818,93.9229386
1630,24.7208818,93.9229386
2837,24.7208818,93.9229386
4634,10.91564885,79.80694879844232
4795,24.578721,73.6862571
4667,17.3714879,78.5727265
4668,17.5022292,78.5088584
4669,14.0230123,80.088645
4672,17.4129831,78.338635
4673,17.8495919,79.1151663
4674,17.4834409,78.3611316
4676,17.4612372,78.54639010482663
4681,17.9305758,79.893639
4682,18.0068629,79.5578719
4683,14.0230123,80.088645
4684,28.6264459,77.1609878
4685,17.8495919,79.1151663
4686,28.6264459,77.1609878
4687,28.6264459,77.1609878
4688,17.8495919,79.1151663
4690,17.4057955,78.4006536
4691,17.4025091,78.5612562
4692,17.40163895,78.54037494148633
4693,17.497296050000003,78.35078775289792
4694,17.4685307,78.4206695
4695,17.4930841,78.4054408
4696,17.4311452,78.3920499
4697,17.8495919,79.1151663
4698,17.8495919,79.1151663
4699,17.3281147,78.6045399
4701,17.8495919,79.1151663
4702,17.8495919,79.1151663
4705,17.5022292,78.5088584
4677,17.5402262,78.4399957
4678,17.497296050000003,78.35078775289792
4679,17.8495919,79.1151663
4680,18.14801745,80.0603249660266
4193,13.082322898581031,80.28700843668356
4720,22.9964948,87.6855882
4725,22.9964948,87.6855882
4729,22.9964948,87.6855882
3785,17.4114232,78.5076081
3787,26.4073841,93.2551303
3789,27.5945155,94.71920979201424
3798,26.42493645,92.85218098437932
3800,26.4073841,93.2551303
3808,26.4073841,93.2551303
3812,26.3349031,91.71447008208972
3814,30.0476434,79.7902465
3819,26.1794742,91.7525068
3820,26.17399005,91.7466660080891
3821,26.49121035,90.1215209027452
3163,21.9443556,78.80206379267011
3587,14.5203896,75.7223521
3591,14.5203896,75.7223521
3592,12.9338387,77.57668528462312
3593,14.5203896,75.7223521
3601,14.5203896,75.7223521
3602,12.9361208,77.66718430340032
3608,12.9486949,77.7393344486924
3609,14.5203896,75.7223521
3610,14.5203896,75.7223521
3612,12.76201475,80.08888579645833
3613,14.5203896,75.7223521
3614,14.5203896,75.7223521
3615,14.5203896,75.7223521
3616,14.5203896,75.7223521
3617,12.8700812,77.60420476682177
3618,12.88243315,77.64537634837498
3620,14.5203896,75.7223521
3621,14.5203896,75.7223521
3624,13.11198505,77.5770581964404
3625,13.04720245,77.5867146856506
3627,13.08671565,77.61166929552981
4506,13.07959455,77.52897601363335
4514,14.5203896,75.7223521
4515,14.5203896,75.7223521
4516,12.96936955,77.7207209346071
4517,14.5203896,75.7223521
4518,14.5203896,75.7223521
4519,23.3973043,72.2680393
4520,14.5203896,75.7223521
4521,14.5203896,75.7223521
4523,12.97434155,77.73587347278149
4524,12.9876393,77.7377718
4525,14.5203896,75.7223521
4529,12.9049906,77.66802647761577
4542,14.5203896,75.7223521
4544,14.5203896,75.7223521
4177,26.8105777,73.7684549
4178,24.5439951,73.68584719359191
4670,17.8495919,79.1151663
4642,23.7750823,91.7025091
4643,23.7750823,91.7025091
4644,23.7750823,91.7025091
3586,14.5203896,75.7223521
3622,14.5203896,75.7223521
4527,12.96440905,77.74276546611009
3845,23.8143419,77.5340719
5052,17.4872976,78.3322142
5048,17.5271759,78.4200077
5040,17.317791149999998,78.4888593678445
5035,17.4057955,78.4006536
5060,17.4881832,78.316112
5051,18.7030009,80.0372672
5046,17.5271759,78.4200077
5039,17.328056349999997,78.500169482216
5059,17.47936985,78.32814118976825
5062,17.4981608,78.3567628
5054,16.3294885,78.4920359
5032,13.8633993,79.7537844
5057,17.4587912,78.3730556
5047,17.09471716920834,77.63627626977083
5049,17.5271759,78.4200077
5029,17.7776835,78.5705066
5045,17.5168913,78.5126057
5043,17.4930841,78.4054408
5063,17.4129831,78.338635
5030,19.0412373,72.92679979838383
5056,17.4834409,78.3611316
5041,17.4025091,78.5612562
5061,17.46565735,78.34067239565113
5053,17.4436222,78.3519638
5058,17.44594355,78.36335704999999
5038,17.310350149999998,78.47298483669944
5033,17.4057955,78.4006536
5034,17.4057955,78.4006536
5044,26.3457876,77.82894580125128
5037,17.4746717,78.5069513
5050,17.519687,78.4468876
5042,18.61213135,79.36848829954994
5031,17.806692,78.1741474
3437,30.0417376,79.089691
1362,30.0417376,79.089691
5159,15.9240905,80.1863809
5147,15.9240905,80.1863809
2207,26.4073841,93.2551303
2220,26.4073841,93.2551303
1263,26.4073841,93.2551303
3783,26.4073841,93.2551303
2215,26.4073841,93.2551303
5280,15.3403005,73.94233176124271
5103,15.3004543,74.0855134
5104,15.2192326,74.0054637475663
3651,14.5203896,75.7223521
3637,14.5203896,75.7223521
4526,13.0017711,77.70326364092737
4528,14.5203896,75.7223521
3604,14.5203896,75.7223521
3597,13.16575,77.49115681818182
3559,14.5203896,75.7223521
3660,14.5203896,75.7223521
4530,12.82521135,77.69375186505573
3684,14.5203896,75.7223521
4511,14.5203896,75.7223521
3695,14.5203896,75.7223521
3692,14.5203896,75.7223521
3635,14.5203896,75.7223521
3626,13.044858600000001,77.60906294904638
3687,14.5203896,75.7223521
3674,14.5203896,75.7223521
3688,14.5203896,75.7223521
3690,14.5203896,75.7223521
3640,14.5203896,75.7223521
3632,14.5203896,75.7223521
4522,14.5203896,75.7223521
3638,14.5203896,75.7223521
5180,10.3528744,76.5120396
5200,10.3528744,76.5120396
5198,10.3528744,76.5120396
5199,10.3528744,76.5120396
5201,10.3528744,76.5120396
5230,10.3528744,76.5120396
5291,27.601029,88.45413638680145
